Mercy,20,34, 54
Father Stretch My Hands, Pt. 1,30,26, 56
Monster,46,49, 95
Ultralight Beam,31,25, 56
Bound 2,5,14, 19
New Slaves,14,25, 39
Blood on the Leaves,16,28, 44
Black Skinhead,13,35, 48
Runaway,30,22, 52
All Mine,9,14, 23
Famous,12,25, 37
POWER,27,33, 60
Real Friends,22,39, 61
No More Parties inÂ LA,60,45, 105
I Love Kanye,0,16, 16
Wolves,13,22, 35
Gold Digger,13,60, 73
Ghost Town,15,28, 43
Pt. 2,17,24, 41
FML,23,36, 59
